Achtung;Dies ist eine automatisch generierte Datei. Manuelle Änderungen können zu einem Fehlverhalten führen.

Name;TestSatz
ID;41DB2B7E-B5F6-4730-8701-CB32E1B42100
Letzte Änderung;02.01.2017 17:28:24
Kommentar;Sinnloser Testsatz
Fragen;2
Mögliche Ergebnisse;2
Min;15
Max;70

Fragen
Frage 1;Antwortmöglichkeiten;2
ID;4A49AC30-2D33-44BA-9851-05B257CF4319
Was ist besser: Sollte ein Chef geliebt oder gefürchtet werden?
geliebt;50
gefürchtet;0

Frage 2;Antwortmöglichkeiten;2
ID;476F2EBD-9F73-4C6C-8C35-CB655B0DE873
Was sind die zentralen Eigenschaften einer guten Führungskraft?
zuverlässig;20
nett;15

Ergebnisse
Ergebnis;1
Schlecht
Min;15
Max;50

Ergebnis;2
Gut
Min;50
Max;70
